ttl,ip,rttHop,rttTot,lat,lon,outlier
1,190.190.202.84,4.040940054531755,4.040940054531755,-34.5803362,-58.4245236,False
6,181.96.113.234,88.98241972101145,93.02335977554321,-34.6075682,-58.4370894,False
7,195.22.220.56,-77.28046973546346,15.742890040079752,-34.6075682,-58.4370894,False
8,195.22.199.65,126.82023843129475,142.5631284713745,34.0536909,-118.242766,False
9,4.68.62.57,-1.9631624221801758,140.59996604919434,25.7741728,-80.19362,False
10,4.69.167.114,97.69949913024902,238.29946517944336,42.6977028,23.3217359,False
11,62.67.67.154,6.9364945093790595,245.23595968882242,50.1106444,8.6820917,False
12,188.1.144.221,2.2362391153971544,247.47219880421957,49.2355571,6.992442025011471,False
13,188.1.146.210,12.834922472635895,260.30712127685547,49.2355571,6.992442025011471,False
14,188.1.235.242,-1.9931157430012831,258.3140055338542,49.2355571,6.992442025011471,False
18,141.20.0.210,-1.884476343790709,256.4295291900635,49.2355571,6.992442025011471,False
19,141.20.5.188,0.49053827921551374,256.920067469279,49.2355571,6.992442025011471,False
